,id,title,date,rawtext,rousseau_N
0,1,Herakleitos I.,"Magnetofonový kotouč
",,0
1,2,"Herakleitos II.
","Magnetofonový kotouč
",,0
2,4,"Parmenides
","Magnetofonový kotouč
",,0
3,5,"Vliv Eleatské filosofie v dějinách
","Magnetofonový kotouč
",,0
4,6,"Parmenides II.
","Magnetofonový kotouč
",,0
5,7,"Parmenides III.
","Magnetofonový kotouč
",,0
6,8,"Aristotelés I.
","Magnetofonový kotouč
",,0
7,9,"Aristotelés II.
","Magnetofonový kotouč
",,0
8,10,"Melissos a Zénon
","Magnetofonový kotouč
",,0
9,11,"Parmenides IV.
","Magnetofonový kotouč
",,0
10,12,"Zenón a Platón
","Magnetofonový kotouč
",,0
11,13,"Platón a Parmenides
","Magnetofonový kotouč
",,0
12,14,"Platón a Empedokles
","Magnetofonový kotouč
",,0
13,15,"Mimořádná přednáška o Platonově psychologii 
","Magnetofonový kotouč
",,0
14,16,"Referát o knize Arendtová O násilí
","Magnetofonový kotouč
",,0
15,17,"Mimořádná přednáška - Konec filosofie
","Magnetofonový kotouč
",,0
16,18,"Druhá mimořádná přednáška - Konec filosofie
","Magnetofonový kotouč
",,0
17,19,"Platón úvod
",,,0
18,20,"Sedmý list
",,,0
19,21,"Sedmý list
",,,0
20,22,"Sedmý list
",,,0
21,23,"Politika
",,,0
22,24,"Politika
",,,0
23,25,"Mýtus, Ion
",,,0
24,26,"Euthyfron, Laches
",,,0
25,27,"Laches
",,,0
26,28,"Gorgias
",,,0
27,29,"Gorgias
",,,0
28,30,"Gorgias
",,,0
29,31,"Gorgias
",,,0
30,32,"Gorgias
",,,0
31,33,"Zavedení strážců
",,,0
32,34,"Zavedení strážců
",,,0
33,35,"Práva strážců
",,,0
34,36,"O duši
",,,0
35,37,"O duši
",,,0
36,38,"Platon, skupinové manželství
",,,0
37,39,"Kdo je filosof
",,,0
38,40,"Kdo je filosof
",,,0
39,41,"Kdo je filosof
",,,0
40,42,"1 Úvod. - Situace člověka. - Situace Evropy
",,,0
41,43,"2 Co je fenomén? - Fenomenologie a fenomenologická filosofie. - Fenomén a pravda
",,,0
42,44,"3 Fenomenologie a gnoseologie. - Mytická dvojznačnost. - Mytický rámec řecké filosofie
",,,0
43,45,"4 Jasnost a bloudění v mytickém světě. - Zrození filosofie. - Předsókratikové
",,,0
44,46,5 Problém filosofie. - Pojetí duše a péče o duši u Démokrita a u Platóna. ,,,0
45,47,6 Zkoumání duše. - Ontokosmologická modalita péče o duši u Platóna.,,,0
46,48,"7 Péče o duši v obci: Politeia. - Přeměna mýtu v náboženství. - Péče o duši jako pohyb: objev věčnosti.
",,,0
47,49,"8 Bytí a fenomén. - Upřesnění výkladů o mýtu. - Péče o duši a konečnost. - Diskuse
",,,0
48,50,"9 Diskuse – pokračování
",,,0
49,51,"10 Transformace ontologického projektu u Aristotela. - Návrat do jeskyně
",,,0
50,52,"11 Pohyb péče o duši u Platóna a Aristotela. - Tematizace jednání u Aristotela.
",,,0
